,username,name,tweet
80,hanzalakhichi,Hanzala,"this ""hamare sath bhi esa hi hua tha"" attitude of our education system is the real pandemic."
81,ethandnl,🄴 박성훈 || 𝑘𝑎𝑔𝑒𝑦𝑎𝑚𝑎,Haven’t you all tired of saying ‘corruption’? When will people realize that we’re not only facing a pandemic but we’ve been in education crisis for a long time now.
82,knstrs_,d0m,someone na namemeke ng degree? Grabe yung struggles ng students and teachers during pandemic para isalba ang education sector pero yung mga binoto niyo walang konkretong plano sa edukasyon? Nagtataasan na ang presyo ng bilihin.
83,wrpmeducation,WRPM-Ed. Services,"Closing the Pandemic Learning Gap Continues through May.  PD Offerings for educators for Spring/Summer.  Online resources for ""non-holidays"" in May. Come Fly a Kite on June 18th!  https://t.co/NJrDEPPbat  https://t.co/cIZjIlQ6HL"
84,bcivic1,B:CIVIC,"@SouthwestAir released its annual 2021 One Report. It includes how they champion education attainment for all, work to achieve carbon neutrality by 2050 and continue to respond to the pandemic. The report is the perfect way to learn more about Southwest:  https://t.co/06Jz70rHfO"
85,diverseissues,Diverse: Issues In Higher Education,Asian studies program leaders describe how they have handled challenges related to the COVID-19 pandemic.  @IbataArens @MeredithOyen   https://t.co/ERQVvzSpDR
86,edwriters,Education Writers Association,An AIR survey of educators shows ELLs in rural communities and in districts with fewer EL students received fewer supports and resources during the pandemic.   Get tips from our webinar recording:  https://t.co/HyuqDXOXLQ
87,cornerstonesedu,Cornerstones,"An assessment phoenix out of the pandemic flames. 🔥  Our director and assessment guru @Simon_Hickton reacts to Ofsted’s new report, Education recovery in schools: spring 2022, and highlights critical points about assessment. Read the full article here 👉  https://t.co/vuMrsB2ytn  https://t.co/CHMRBDySKa"
88,kdunbarrrr,Kdunbar1,@Margo88228172 @thehectorer @fordnation @fordnation dropped out of school to deal drugs. He’s running the province like a school dropout turned drug dealer. Buck a beer. Cut the pay of nurses during a pandemic. Cut education and healthcare funding. You’re correct. Pretty childish. 🙄
89,vippusao,TomthunkitsMind,EDUCATION COSTS SOAR WHILE SCHOOLS TRY TO MAKE UP FOR THE PANDEMIC LOSSES  https://t.co/2Nb8PSPxaU
